name,ring,quadrant,isNew,description
Melhoria contínua de performance,Adote,Técnicas,TRUE,Melhoria contínua de performance.
Redução de complexidade,Adote,Técnicas,TRUE,Redução de complexidade.
Injeção de dependência,Adote,Técnicas,TRUE,"Injeção de dependência é um padrão de desenvolvimento desoftware utilizado quando é necessário manter baixo o nível de acoplamento entre diferentes módulos de um sistema. Nesta solução as dependências entre os módulos não são definidas programaticamente, mas sim pela configuração de uma infraestrutura de software (container) que é responsável por ""injetar"" em cada componente suas dependências declaradas. A Injeção de dependência se relaciona com o padrão Inversão de controle mas não pode ser considerada um sinônimo deste."
Kanban,Adote,Técnicas,TRUE,Kanban é um sistema de gestão visual para controle de tarefas e fluxos de trabalho através da utilização de colunas e cartões.
MVC,Adote,Técnicas,TRUE,Arquitetura Modelo-Visão-Controlador (do inglês Model-View-Controller - MVC) é um padrão de arquitetura de software (não confundir com design pattern) que separa a representação da informação da interação do usuário com ela. Normalmente usado para o desenvolvimento de interfaces de usuário que divide uma aplicação em três partes interconectadas.
Design Patterns,Adote,Técnicas,TRUE,Design Patterns (Padrões de projeto em português) é uma solução geral que pode ser aplicada em determinados problemas que ocorrem durante a arquitetura de um software. É uma descrição ou um modelo de como resolver um determinado problema que pode acontecer em diferentes tipos de situação durante a criação de um sistema.
Devops,Experimente,Técnicas,TRUE,"DevOps é uma metodologia de desenvolvimento de software que utiliza a comunicação para integrar desenvolvedores de software e profissionais de infraestrutura de TI. Essa metodologia ficou conhecida como implementação contínua ou entrega contínua porque, ao padronizar ambientes de desenvolvimento, também auxilia as empresas no gerenciamento do lançamento de novas versões, além de controlar e de documentar a emissão de relatórios com diversidade de granularidade."
Trabalho Remoto,Experimente,Técnicas,TRUE,Trabalho remoto.
Squads,Experimente,Técnicas,TRUE,"Times organizados em Squads, inspirado na iniciativa do Spotify. Mais detalhes aqui: https://targetteal.com/pt/blog/modelo-spotify-squads/."
Design Sprint,Experimente,Técnicas,TRUE,"O Design Sprint é uma metodologia participativa: diferente de encomendar um trabalho para uma consultoria, no Design Sprint as equipes da empresa e produto criam juntas. Não existe Design Sprint se os integrantes das equipes não têm disponibilidade para participar. O Design Sprint é uma maneira informada e ágil de conceituar e tangibilizar uma ideia, um produto, suas implementações e funcionalidades em um curto espaço de tempo. São cinco dias de intenso trabalho, juntando práticas de estratégia de negócios, inovação, ciência do comportamento, design thinking. A ideia é comprimir em uma semana os meses de discussões intermináveis e idas e vindas de um projeto."
Rastreamento com Fluentlog,Experimente,Técnicas,TRUE,FluentLog é uma api fluente para gerar um trace do algoritmo executado.
Open Source,Experimente,Técnicas,TRUE,"Software de código aberto é o software com o seu código fonte disponibilizado e licenciado com uma licença de código aberto no qual o direito autoral fornece o direito de estudar, modificar e distribuir o software de graça para qualquer um e para qualquer finalidade."
Documentação aberta e colaborativa,Experimente,Técnicas,TRUE,Documentação aberta e colaborativa.
DDD,Avalie,Técnicas,TRUE,"Domain-Driven Design (DDD) é uma abordagem de desenvolvimento de software em que o design é orientado pelo domínio, ou seja, pela área de conhecimento à qual o software se aplica. Outra forma de dizer é: em DDD, o design da solução é orientado pelas regras de negócio."
EventSourcing,Avalie,Técnicas,TRUE,EventSourcing é persistir dados de uma forma que preserva toda informação. É sobre representar objetos como uma sequência de eventos que ocorreram através do tempo e os levaram a ficar como estão.
Lean Inception,Avalie,Técnicas,TRUE,Lean Inception é o nome dado ao workshop colaborativo para alinhar um grupo de pessoas sobre o produto mínimo viável a ser construído.
Blockchain,Avalie,Técnicas,TRUE,"A tecnologia Blockchain nada mais é do que um livro razão público (ou livro contábil) que faz o registro de uma transação de moeda virtual, de forma que esse registro seja confiável e imutável. Ou seja, o blockchain registra informações como: a quantia transacionada da moeda, quem enviou, quem recebeu, quando essa transação foi feita e em qual lugar do livro ela está registrada. Isso mostra que a transparência é um dos principais predicados do blockchain."
NoSQL,Avalie,Técnicas,TRUE,"A sigla NoSQL é geralmente interpretada como “Not Only SQL” ou “Não SQL”. NoSQL é uma classe de bancos de dados que diverge do modelo de sistema de gerenciamento de bancos de dados relacionais, não fazendo uso primário de tabelas e não usando, no geral, declarações SQL para efetuar a manipulação de dados."
Liberação manual,Evite,Técnicas,TRUE,Processos não automatizados são suscetíveis à falhas. Evite!
Cascagil / Waterfall,Evite,Técnicas,TRUE,"É uma metodologia associada ao fato de que o processo deverá acontecer, em etapas, de forma sequencial. Há pouquíssimo paralelismo no desenvolvimento das etapas e, uma etapa, em geral, só começa quando a anterior estiver finalizada. Para além disto outra regra é a ""impossibilidade"" de se voltar atrás quando uma etapa está finalizada."
BIT,Adote,Ferramentas,TRUE,O BEF Integration Tests (BIT) é uma biblioteca que permite o desenvolvimento de testes de integração para regras de negócio escritas utilizando BEF.
Visual Studio 2019+,Adote,Ferramentas,TRUE,"É uma ferramenta da Microsoft, conhecida como uma IDE (Integrated Development Environment). Ou seja, é um software editor de texto que possibilita aos usuários escreverem seus códigos em uma determinada linguagem para, então, serem traduzidos em comandos para os computadores. Com o Visual Studio é possível desenvolver aplicativos da Web ASP.NET, serviços Web XML, aplicativos desktop e aplicativos móveis."
Visual Studio Code,Adote,Ferramentas,TRUE,"É uma ferramenta editora de texto leve e multiplataforma que está disponível para Windows, Mac OS e Linux, e atende a uma gama enorme de projetos, não apenas ASP.NET, como também Node.js. Adicionalmente, o editor possui suporte à sintaxe de diversas linguagens como Python, Ruby, C++."
Rider,Adote,Ferramentas,TRUE,"Rider é uma IDE (Integrated Development Environment) multi plataforma para plataforma .NET, desenvolvido pela empresa JetBrains."
Roteamento de mensagens no BTL,Adote,Ferramentas,TRUE,"Segmentar os assuntos do BTL em filas distintas, através de Broker de mensageria, permitindo configurar recursos computacionais para consumir tarefas de acordo com cada assunto."
NSubstitute,Adote,Ferramentas,TRUE,NSubstitute is a mocking framework available for .Net.
Sonar Qube,Adote,Ferramentas,TRUE,"Sonarqube é uma plataforma open-source desenvolvida pela empresa SonarSource para inspeção contínua de qualidade de código. Ela realiza análises de código para detectar bugs, code smells e vulnerabilidades de segurança em mais de 20 linguagens de programação. SonarQube oferece relatórios sobre código duplicado, padrões de código, testes unitários, cobertura de código, complexidade de código, comentários, bugs e vulnerabilidades. Também oferece gráficos de evolução dentre outras ferramentas."
Sonar Lint,Adote,Ferramentas,TRUE,"O SonarLint é uma ferramenta de lint plugável a algumas IDE’s como Eclipse, IntelliJ, VSCode entre outros. A ferramenta lint vai verificar o código do projeto e procurar pequenos erros. A ferramenta SonarLint e utilizada para apontar erros no código durante o desenvolvimento."
Tortoise Git,Adote,Ferramentas,TRUE,TortoiseGit é uma interface para controle de repositórios git. A principal interação com o TortoiseGit se dá pelos menus de contexto do explorador de arquivos do Windows.
Container,Experimente,Ferramentas,TRUE,"Container é uma tecnologia que permite a criação de múltiplas instâncias isoladas de um determinado sistema operacional dentro de um único hospedeiro, em outras palavras é uma maneira de virtualizar aplicações."
Elasticsearch,Experimente,Ferramentas,TRUE,"O Elasticsearch é uma ferramenta para realização de buscas e análise de dados construída para trabalhar com grandes volumes de dados, permitindo indexar documentos e realizar buscas nesses documentos em (quase) tempo real."
Mongo,Experimente,Ferramentas,TRUE,"MongoDB é um software de banco de dados orientado a documentos livre, de código aberto e multiplataforma, escrito na linguagem C++. Classificado como um programa de banco de dados NoSQL, o MongoDB usa documentos semelhantes a JSON com esquemas."
Artefatos de Builder,Experimente,Ferramentas,TRUE,"O Builder permite exportar para xml a definição de estrutura de dados. Isto possibilita tratar as estruturas da base de dados como código fonte, efetuando PullRequests, Revisão de Código, Merges, etc."
BEF One Layer,Experimente,Ferramentas,TRUE,Simplificação da arquitetura dos projetos (e binários) do BEF. Permitindo manter um assembly comum entre as camadas Business e Presentation.
WES Stateless,Experimente,Ferramentas,TRUE,"Ao remover a afinidade de sessão dos seus projetos, com o WES Stateless (https://dev.benner.com.br/2018/08/wes-stateless-mais-um-passo-em-direcao-a-nuvem/). Você torna seu produto escalável com containers e muitos outros benefícios da nuvem, tanto na nuvem quanto on-premises."
Cake,Experimente,Ferramentas,TRUE,"Cake é um sistema de automação de build multi-plataformas em C# para tarefas como compilação de código, cópia de arquivos e pastas, execução de testes unitários, compressão de arquivos e compilação de pacotes NuGet."
Selenium,Experimente,Ferramentas,TRUE,"Selenium é uma ferramenta de automação de navegadores, permitindo não apenas, mas principalmente testes de interface automatizados."
Analytics,Experimente,Ferramentas,TRUE,"Analytics refere-se à possibilidade de se utilizar dados, análises e raciocínio sistemático para seguir em um processo de tomada de decisão muito mais eficiente. Pode ser aplicado em diversos tipos de negócios."
Expressões Lambdas do BEF,Experimente,Ferramentas,TRUE,"Com expressões lambda é possível executar consultas no banco de dados sem utilizar SQL. Entre os diversos benefícios, as expressões lambda melhoram a legibilidade do código, facilitam a escrita de testes unitários e os erros de sintaxe são detectados em tempo de compilação."
Prometheus,Experimente,Ferramentas,TRUE,Monitoramento de aplicações em container
Grafana,Experimente,Ferramentas,TRUE,Dashboards para monitoramento de aplicações em container
Ansible,Experimente,Ferramentas,TRUE,"É uma ferramenta de automatização criada para gerenciar múltiplas máquinas de uma vez com suporte de uma linguagem própria baseada em YAML. Utiliza SSH para se conectar com os servidores e executar as tasks e funciona em cima de uma arquitetura sem a presença de agentes (agentlesss) e não necessita de uma infraestrutura de segurança customizada, fazendo com que o processo de automação seja mais eficiente e mais seguro."
PostgreSQL,Avalie,Ferramentas,TRUE,O PostgreSQL é um sistema de gerenciamento de banco de dados objeto-relacional desenvolvido pelo Departamento de Ciência da Computação da Universidade da Califórnia em Berkeley. O POSTGRES foi pioneiro em vários conceitos que somente se tornaram disponíveis muito mais tarde em alguns sistemas de banco de dados comerciais. http://wiki.benner.com.br/wiki/index.php?title=BEF_-_Executando_consultas_com_Express%C3%B5es_Lambda_(LINQ).
Message Broker,Avalie,Ferramentas,TRUE,"Message broker é um desenho de arquitetura para validação, transformação e encaminhamento de mensagens."
Machine Learning,Avalie,Ferramentas,TRUE,"Machine learning é um método de análise de dados que automatiza a construção de modelos analíticos. É um ramo da inteligência artificial baseado na ideia de que sistemas podem aprender com dados, identificar padrões e tomar decisões com o mínimo de intervenção humana."
Power BI,Avalie,Ferramentas,TRUE,O Power BI é uma solução de análise de negócios que permite que você visualize seus dados e compartilhe insights em toda a organização ou os insira no seu aplicativo ou site. Conecte-se a centenas de fontes de dados e dê vida aos seus dados com dashboards e relatórios.
OData,Avalie,Ferramentas,TRUE,"O OData (Open Data Protocol) define um conjunto de práticas recomendadas para criar e consumir APIs RESTful. O OData ajuda você a se concentrar na sua lógica ao criar APIs RESTful sem precisar se preocupar com as várias abordagens para definir cabeçalhos de solicitação e resposta, códigos de status, métodos HTTP, convenções de URL, tipos de mídia, formatos de carga útil, opções de consulta etc."
Microsserviços,Avalie,Ferramentas,TRUE,Microsserviços são uma abordagem de arquitetura para a criação de aplicações. O que diferencia a arquitetura de microsserviços das abordagens monolíticas tradicionais é como ela decompõe a aplicação por funções básicas. Cada função é denominada um serviço e pode ser criada e implantada de maneira independente. Isso significa que cada serviço individual pode funcionar ou falhar sem comprometer os demais.
Jira,Avalie,Ferramentas,TRUE,"É uma ferramenta que permite o monitoramento de tarefas e acompanhamento de projetos garantindo o gerenciamento de todas as suas atividades em único lugar. Um Projeto JIRA é um agrupamento de tarefas (Issues), e é definido de acordo com a organização e as suas necessidades."
Ferramentas de Monitoramento,Avalie,Ferramentas,TRUE,Ferramentas de monitoramento.
RavenDB,Avalie,Ferramentas,TRUE,"RavenDB é um banco de dados NoSQL desenvolvido em .NET, com código-fonte aberto."
API Manager / API Gateway,Avalie,Ferramentas,TRUE,"API Gateway é uma ferramenta para redirecionamento e filtragem de tráfego de terceiros. API Manager fornece uma camada de gestão para API Gateways. Além de definir o comportamento do API Gateway, o API Manager lida com análises de cada requisição, insight corporativos através das análises, implementação de controle de versão, criação de dashboard de acesso, possibilidade de monetização e etc."
Dapper / ORM,Avalie,Ferramentas,TRUE,ORM (Object Relational Mapper) é uma técnica de mapeamento objeto relacional que permite fazer uma relação dos objetos com os dados que os mesmos representam. Dapper é um pequeno framework ORM.
Entity Framework Core,Avalie,Ferramentas,TRUE,"O Entity Framework é uma ferramenta ORM que permite ao desenvolvedor trabalhar com dados relacionais na forma de objetos específicos do domínio. O Entity Framework Core é uma versão leve, extensível e multiplataforma do Entity Framework. O Entity Framework Core introduz muitas melhorias e novos recursos quando comparado com o EF6.x. Ao mesmo tempo, o Entity Framework Core é uma nova base de código e um novo produto."
Workflow,Avalie,Ferramentas,TRUE,Ferramentas de automação de processos em geral.
Newrelic,Avalie,Ferramentas,TRUE,"New Relic é uma solução de monitoramento. Em uma plataforma SaaS, foi projetado para diagnosticar problemas de desempenho e, assim, ajudar a economizar o tempo do programador."
Nexus,Avalie,Ferramentas,TRUE,"Gerenciador de binarios, artefatos de liberação em geral."
Git Extensions,Avalie,Ferramentas,TRUE,Git Extensions é um kit de ferramentas destinado a tornar o trabalho com o Git no Windows mais intuitivo. A extensão do shell se integrará no Windows Explorer e apresentará um menu de contexto em arquivos e diretórios.
Portainer,Avalie,Ferramentas,TRUE,Portainer é uma interface Web que roda localmente e é possível gerenciar imagens e containers Docker.
Vagrant,Avalie,Ferramentas,TRUE,Esta ferramenta permitir criar e gerenciar de forma práticas máquinas virtuais. No caso da automação a virtualização poderá ser utilizada para dar escalabilidade para execução dos testes automatizados.
Puppet,Avalie,Ferramentas,TRUE,"O uso desse provisionador, em conjunto o Vagrant, auxilia nas instalações e configurações dos pacotes necessários para máquinas virtuais. É um arquivo que pode ser versionado e facilmente modificado, que garante que as máquinas virtuais (se estiver usando o Vagrant em conjunto) estejam instaladas e configuradas da mesma maneira."
Fluentd,Avalie,Ferramentas,TRUE,Ferramenta de extração e roteamento de logs
Polly,Avalie,Ferramentas,TRUE,Permite aplicar políticas de resiliência
DS Version,Evite,Ferramentas,TRUE,"Controlador de arquivos, utilizado para fontes."
E9,Evite,Ferramentas,TRUE,Solução interna da Benner para compilar e liberar binários.
Test Complete,Evite,Ferramentas,TRUE,Solução para automação de testes.
Benner Report (Quick Report),Evite,Ferramentas,TRUE,Solução interna que utiliza o QuickReport para gerar relatórios de forma cadastral. Evite! Seu sucessor é o Stimulsoft.
Vue.js,Adote,Linguagens & Frameworks,TRUE,"O Vue é uma framework progressivo JavaScript que se concentra na criação de componentes reutilizáveis . Como ele só funciona na “camada de visualização”, pode ser integrado facilmente a outros projetos e bibliotecas. O Vue.js oferece muitas funcionalidades para a camada de visualização e pode ser usado para criar Single Page Applications."
C# 7.0+,Adote,Linguagens & Frameworks,TRUE,"C# é uma linguagem de programação, multiparadigma, de tipagem forte, desenvolvida pela Microsoft como parte da plataforma .NET. A sua sintaxe orientada a objetos foi baseada no C++ mas inclui muitas influências de outras linguagens de programação, como Object Pascal e, principalmente, Java."
Jest,Adote,Linguagens & Frameworks,TRUE,"Jest é um framework de testes com baterias incluídas criado pelo Facebook. Ele é rápido, cheio de recursos e integrado perfeitamente com Babel."
REST,Adote,Linguagens & Frameworks,TRUE,"REST significa Representational State Transfer. Em português, Transferência de Estado Representacional. Trata-se de uma abstração da arquitetura da Web. Resumidamente, o REST consiste em princípios/regras/constraints que, quando seguidas, permitem a criação de um projeto com interfaces bem definidas. Desta forma, permitindo, por exemplo, que aplicações se comuniquem."
Swagger,Adote,Linguagens & Frameworks,TRUE,"Swagger é um projeto composto por algumas ferramentas que auxiliam o desenvolvedor de APIs REST em algumas tarefas como: modelagem da API; geração de documentação (legível) da API; geração de códigos do Cliente e do Servidor, com suporte a várias linguagens de programação."
Webpack,Adote,Linguagens & Frameworks,TRUE,Webpack é um empacotador de módulos estáticos para aplicações JavaScript modernas. Ao processar a aplicação o webpack gera um gráfico que mapeia cada módulo e suas dependências e gera um ou mais pacotes.
User Interface (Script UI),Adote,Linguagens & Frameworks,TRUE,"Solução para escrever comportamento de interface (tela) comum, tanto para o Desktop quanto para a Web."
JQuery,Adote,Linguagens & Frameworks,TRUE,"jQuery é uma biblioteca de funções JavaScript que interage com o HTML, desenvolvida para simplificar os scripts interpretados no navegador do cliente."
NUnit,Adote,Linguagens & Frameworks,TRUE,"NUnit é um framework livre para testes unitários. Com o NUnit é possível criar casos de teste unitários no Visual Studio e executá-los, obtendo o resultado (uma das formas) em um aplicativo gráfico que permite a visualização simplificada do sucesso ou fracasso dos testes executados."
ASP.NET Web API 2,Adote,Linguagens & Frameworks,TRUE,ASP.NET Web API 2 é um framework para construir serviços HTTP sobre o .Net Framework.
ASP.NET Core,Adote,Linguagens & Frameworks,TRUE,"ASP.NET Core é um framework web gratuito e aberto, com performance maior que ASP.NET, desenvolvido pela Microsoft e comunidade. É um framework modular que funciona tanto no .NET Framework Full, no Windows, e nas múltiplas plataformas com .NET Core."
Xamarim,Experimente,Linguagens & Frameworks,TRUE,"Xamarin é uma plataforma de desenvolvimento mantida pela Microsoft que permite a criação de aplicativos móveis nativos para iOS, Android e Windows Phone utilizando como base a linguagem C# com o framework .NET. A ideia é que seja possível reutilizar mais de 75% do código entre as plataformas."
.NET Core,Avalie,Linguagens & Frameworks,TRUE,".NET Core é uma estrutura de software de computador gerenciada gratuita e de código aberto para os sistemas operacionais Windows, Linux e MacOS. É um sucessor de plataforma aberta do .NET Framework."
Node.js,Avalie,Linguagens & Frameworks,TRUE,"Node.js é uma plataforma construída sobre o motor JavaScript do Google Chrome para facilmente construir aplicações de rede rápidas e escaláveis. Node.js usa um modelo de I/O direcionada a evento não bloqueante que o torna leve e eficiente, ideal para aplicações em tempo real com troca intensa de dados através de dispositivos distribuídos."
Python,Avalie,Linguagens & Frameworks,TRUE,"Python é uma linguagem dinâmica, interpretada, robusta, multiplataforma, multi-paradigma (orientação à objetos, funcional, refletiva e imperativa) e está preparada para rodar em JVM e .NET Framework. É uma linguagem livre (até para projetos comerciais) e hoje pode-se programar para desktops, web e mobile."
DevExpress,Avalie,Linguagens & Frameworks,TRUE,Suite de componentes.
Blazor,Avalie,Linguagens & Frameworks,TRUE,"Blazor é uma estrutura de UI da Web baseada em C#, Razor e HTML que é executada no navegador via WebAssembly. O Blazor foi projetado para simplificar a tarefa de criar aplicativos rápidos de página única que são executados em qualquer navegador."
GraphQL,Avalie,Linguagens & Frameworks,TRUE,"GraphQL é uma linguagem de consulta criada pelo Facebook em 2012 e lançada publicamente em 2015.[2] É considerada uma alternativa para arquiteturas REST, além de oferecer um serviço runtime para rodar comandos e consumir uma API."
FileHelpers,Avalie,Linguagens & Frameworks,TRUE,Biblioteca que facilita manipulação de arquivos
AutoMapper,Avalie,Linguagens & Frameworks,TRUE,Biblioteca para transformação de dados
SignalR,Avalie,Linguagens & Frameworks,TRUE,SignalR é uma biblioteca de software para o Microsoft ASP.NET que permite que o código do servidor envie notificações assíncronas para aplicativos da Web do lado do cliente
Helm e Helmfile,Avalie,Linguagens & Frameworks,TRUE,é uma ferramenta para gerenciamento de pacotes para o Kubernetes
Regra de negócio Delphi,Evite,Linguagens & Frameworks,TRUE,"O Delphi é legado. Ele é restrito ao Win32, estamos indo na direção da multi-plataforma (Linux/Windows). Utilize o .NET."
Regra de negócio VBA,Evite,Linguagens & Frameworks,TRUE,"O VBA é legado. Ele é restrito ao Win32, estamos indo na direção da multi-plataforma (Linux/Windows). Utilize o .NET."
Silverlight,Evite,Linguagens & Frameworks,TRUE,"O Silverlight é uma plataforma proprietária desenvolvida pela Microsoft para prover um conteúdo multimídia a partir do navegador web, desenvolvido para concorrer diretamente com as tecnologias Flash e Flex da Adobe. Ele é capaz de reproduzir conteúdos de altíssima qualidade (como 1080p) através dos codecs de vídeo VC-2 e H.264, fornecendo um excelente nível de transmissão via streaming."
Stored Procedure,Evite,Linguagens & Frameworks,TRUE,"Stored Procedure é uma consulta SQL que pode ser salva para ser reutilizada, podendo ser fixa ou receber parâmetros, retornar ou não resultados. O banco armazena em cache as consultas, fazendo as Stored Procedures serem mais performáticas."
SQL Específico para banco de dados,Evite,Linguagens & Frameworks,TRUE,"Nossas soluções precisam rodar em SQLServer, Oracle e PostgreSQL, portanto qualquer comando escrito deve ser compatível com qualquer banco."
Web Services com SOAP,Evite,Linguagens & Frameworks,TRUE,"O protocolo SOAP, abreviação para Simple Object Access Protocol, é uma especificação para a troca de informação entre sistemas, ou seja, uma especificação de formato de dados para envio de estruturas de dados entre serviços, com um padrão para permitir a interoperabilidade entre eles. Seu design parte do princípio da utilização de XMLs para a transferência de objetos entre aplicações, e a utilização, como transporte, do protocolo de rede HTTP."
Git,Adote,Plataformas,TRUE,"Git é um sistema open-source de controle de versão. Com ele podemos criar todo histórico de alterações no código do nosso projeto e facilmente voltar para qualquer ponto para saber como o código estava naquela data. Além disso, o Git nos ajuda muito a controlar o fluxo de novas funcionalidades entre vários desenvolvedores no mesmo projeto com ferramentas para análise e resolução de conflitos quando o mesmo arquivo é editado por mais de uma pessoa em funcionalidades diferentes."
Gitlab,Adote,Plataformas,TRUE,"O GitLab é um gerenciador de repositório de software baseado em git, com suporte a Wiki, gerenciamento de tarefas e CI/CD. GitLab permite que os desenvolvedores armazenem o código em seus próprios servidores, ao invés de servidores de terceiros."
Jenkins,Adote,Plataformas,TRUE,"Jenkins C.I. é uma aplicação web de Integração Contínua que pode ser instalada em qualquer máquina e serve, principalmente, para executar os testes e criar os artefatos de um projeto de software."
WES,Adote,Plataformas,TRUE,"O Web Enterprise Suite (WES) é uma solução completa para o desenvolvimento e execução de aplicações corporativas no ambiente Web. Possui uma interface moderna e intuitiva, que se adapta a dispositivos móveis e é orientada a papéis. O usuário só vê o que é relevante para o papel que ele está desempenhando, garantindo assim uma boa usabilidade. O WES entrega uma interface padrão com uma série de recursos fundamentais como navegação, menus, atalhos, grids, formulários, filtros, autenticação, autorização, monitoramento, log e auditoria. Esta interface pode ser amplamente customizada."
Docker,Experimente,Plataformas,TRUE,"Docker é uma plataforma para criação e adminsitração de ambientes isolados, chamados containers de forma ampla e de alto desempenho, muito mais rápida que a virtualização convencional."
Kubernetes,Experimente,Plataformas,TRUE,Kubernetes é uma plataforma open source que automatiza as operações dos containers Linux. Essa plataforma elimina grande parte dos processos manuais necessários para implantar e escalar as aplicações em containers.
Nuvem Pública,Experimente,Plataformas,TRUE,"A nuvem pública é definida como uma série de serviços de computação oferecidos por terceiros à Internet pública, os quais são disponibilizados a qualquer pessoa que queira utilizá-los ou comprá-los. Eles podem ser gratuitos ou vendidos sob demanda, permitindo que os clientes paguem apenas pelo seu consumo de ciclos de CPU, armazenamento ou largura de banda."
Identity Server,Avalie,Plataformas,TRUE,"Servidor de gestão centralizada de identidades e permissões, é necessário em ambientes de microsserviços onde cada serviço precisa delegar a autenticação para um serviço dedicado a isso."
Flutter,Avalie,Plataformas,TRUE,"Flutter é um framework para desenvolvimento de aplicativos para dispositivos móveis, Desktop ou Web utilizando a linguagem Dart como base de criação dos aplicativos."
Mobile nativo,Avalie,Plataformas,TRUE,Soluções nativas para aplicativos mobile.
SaaS,Avalie,Plataformas,TRUE,"SaaS (Software as a Service), em português ""software como um serviço"". São aplicações online que podem ser usadas no computador, tablet ou celular, de maneira simples e remota. É um programa que não é instalado e que é usado como um serviço através da conexão com a Internet. Como um serviço, significa que o cliente não compra a licença de um produto, mas sim o direito de usufruir do serviço oferecido."
Drools,Avalie,Plataformas,TRUE,Motor de regras de código fonte aberto
jBPM,Avalie,Plataformas,TRUE,BPM de código fonte aberto
WES 2006,Evite,Plataformas,TRUE,Solução descontinuada da Benner para sistemas de gestão na Web. Evite! Utilize o WES.
DSS,Evite,Plataformas,TRUE,Solução descontinuada de BI.
Runner,Evite,Plataformas,TRUE,"O Runner é a ferramenta Benner responsável pela execução dos sistemas no desktop. Se utiliza dos metadados alimentados pelo Builder para gerar uma interface funcional do sistema, em tempo de execução. A interface é dividida em módulos. Uma Ribbon dá acesso as principais funções de cada módulo. Os dados são exibidos em pastas e subpastas, conforme a relação entre eles."
